State_Name,District_Name,Crop_Year,Season,Area,Production
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,3.5,10.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,6791.0,20118.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,1595.5,3788.0
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,34973.0,102007.0
Andhra Pradesh,ANANTAPUR,2010,Rabi       ,24828.0,69394.0
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,37720.0,94531.0
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,10948.0,25542.0
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,22056.0,58691.0
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,6998.0,17768.0
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,28114.0,59377.0
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,12283.0,28558.0
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,22658.0,68155.0
Andhra Pradesh,ANANTAPUR,2014,Rabi       ,6553.0,14377.0
Andhra Pradesh,ANANTAPUR,2014,Whole Year ,29211.0,82532.0
Andhra Pradesh,CHITTOOR,2010,Kharif     ,18019.0,53639.0
Andhra Pradesh,CHITTOOR,2010,Rabi       ,43558.0,131502.0
Andhra Pradesh,CHITTOOR,2011,Kharif     ,17342.0,55719.0
Andhra Pradesh,CHITTOOR,2011,Rabi       ,33764.0,113211.0
Andhra Pradesh,CHITTOOR,2012,Kharif     ,12952.0,45241.0
Andhra Pradesh,CHITTOOR,2012,Rabi       ,34557.0,126168.0
Andhra Pradesh,CHITTOOR,2013,Kharif     ,15206.0,48766.0
Andhra Pradesh,CHITTOOR,2013,Rabi       ,34654.0,120249.0
Andhra Pradesh,CHITTOOR,2014,Kharif     ,13304.0,44462.0
Andhra Pradesh,CHITTOOR,2014,Rabi       ,27661.0,87962.0
Andhra Pradesh,CHITTOOR,2014,Whole Year ,40965.0,132424.0
Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,237640.0,457704.0
Andhra Pradesh,EAST GODAVARI,2010,Rabi       ,172888.0,849917.0
Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,197445.0,589741.0
Andhra Pradesh,EAST GODAVARI,2011,Rabi       ,139649.0,587084.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,232300.0,355651.0
Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,168756.0,746239.0
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,235159.0,434104.0
Andhra Pradesh,EAST GODAVARI,2013,Rabi       ,169523.0,777602.0
Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,226072.0,681833.0
Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,168045.0,881396.0
Andhra Pradesh,EAST GODAVARI,2014,Whole Year ,394117.0,1563229.0
Andhra Pradesh,GUNTUR,2010,Kharif     ,271072.0,649760.0
Andhra Pradesh,GUNTUR,2010,Rabi       ,58393.0,201806.0
Andhra Pradesh,GUNTUR,2011,Kharif     ,281790.0,1080921.0
Andhra Pradesh,GUNTUR,2011,Rabi       ,11012.0,39060.0
Andhra Pradesh,GUNTUR,2012,Kharif     ,174699.0,607778.0
Andhra Pradesh,GUNTUR,2012,Rabi       ,8362.0,29903.0
Andhra Pradesh,GUNTUR,2013,Kharif     ,280060.0,912716.0
Andhra Pradesh,GUNTUR,2013,Rabi       ,48107.0,183288.0
Andhra Pradesh,GUNTUR,2014,Kharif     ,255607.0,1000190.0
Andhra Pradesh,GUNTUR,2014,Rabi       ,29695.0,111742.0
Andhra Pradesh,GUNTUR,2014,Whole Year ,285302.0,1111932.0
Andhra Pradesh,KADAPA,2010,Kharif     ,53345.0,80657.0
Andhra Pradesh,KADAPA,2010,Rabi       ,17037.0,48896.0
Andhra Pradesh,KADAPA,2011,Kharif     ,47290.0,141161.0
Andhra Pradesh,KADAPA,2011,Rabi       ,6606.0,17499.0
Andhra Pradesh,KADAPA,2012,Kharif     ,24147.0,61551.0
Andhra Pradesh,KADAPA,2012,Rabi       ,6601.0,19249.0
Andhra Pradesh,KADAPA,2013,Kharif     ,51753.0,148842.0
Andhra Pradesh,KADAPA,2013,Rabi       ,10959.0,29447.0
Andhra Pradesh,KADAPA,2014,Kharif     ,42124.0,155648.0
Andhra Pradesh,KADAPA,2014,Rabi       ,3761.0,10189.0
Andhra Pradesh,KADAPA,2014,Whole Year ,45885.0,165837.0
Andhra Pradesh,KRISHNA,2010,Kharif     ,260350.0,722978.0
Andhra Pradesh,KRISHNA,2010,Rabi       ,94991.0,367710.0
Andhra Pradesh,KRISHNA,2011,Kharif     ,262826.0,980105.0
Andhra Pradesh,KRISHNA,2011,Rabi       ,9203.0,31437.0
Andhra Pradesh,KRISHNA,2012,Kharif     ,253166.0,908360.0
Andhra Pradesh,KRISHNA,2012,Rabi       ,11365.0,42244.0
Andhra Pradesh,KRISHNA,2013,Kharif     ,264371.0,773285.0
Andhra Pradesh,KRISHNA,2013,Rabi       ,98951.0,402236.0
Andhra Pradesh,KRISHNA,2014,Kharif     ,235212.0,788901.0
Andhra Pradesh,KRISHNA,2014,Rabi       ,52830.0,209894.0
Andhra Pradesh,KRISHNA,2014,Whole Year ,288042.0,998795.0
Andhra Pradesh,KURNOOL,2010,Kharif     ,104110.0,291475.0
Andhra Pradesh,KURNOOL,2010,Rabi       ,32967.0,105626.0
Andhra Pradesh,KURNOOL,2011,Kharif     ,91984.0,333882.0
Andhra Pradesh,KURNOOL,2011,Rabi       ,14738.0,46042.0
Andhra Pradesh,KURNOOL,2012,Kharif     ,72625.0,276774.0
Andhra Pradesh,KURNOOL,2012,Rabi       ,16840.0,60102.0
Andhra Pradesh,KURNOOL,2013,Kharif     ,92596.0,340383.0
Andhra Pradesh,KURNOOL,2013,Rabi       ,32298.0,118017.0
Andhra Pradesh,KURNOOL,2014,Kharif     ,91569.0,361514.0
Andhra Pradesh,KURNOOL,2014,Rabi       ,23329.0,82748.0
Andhra Pradesh,KURNOOL,2014,Whole Year ,114898.0,444262.0
Andhra Pradesh,PRAKASAM,2010,Kharif     ,48878.0,143300.0
Andhra Pradesh,PRAKASAM,2010,Rabi       ,107903.0,376150.0
Andhra Pradesh,PRAKASAM,2011,Kharif     ,39122.0,134932.0
Andhra Pradesh,PRAKASAM,2011,Rabi       ,79396.0,292098.0
Andhra Pradesh,PRAKASAM,2012,Kharif     ,17820.0,64027.0
Andhra Pradesh,PRAKASAM,2012,Rabi       ,33942.0,125959.0
Andhra Pradesh,PRAKASAM,2013,Kharif     ,58034.0,213391.0
Andhra Pradesh,PRAKASAM,2013,Rabi       ,80544.0,318874.0
Andhra Pradesh,PRAKASAM,2014,Kharif     ,31764.0,121783.0
Andhra Pradesh,PRAKASAM,2014,Rabi       ,73533.0,284132.0
Andhra Pradesh,PRAKASAM,2014,Whole Year ,105297.0,405915.0
Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,69873.0,228485.0
Andhra Pradesh,SPSR NELLORE,2010,Rabi       ,200990.0,777027.0
Andhra Pradesh,SPSR NELLORE,2011,Kharif     ,53137.0,195269.0
Andhra Pradesh,SPSR NELLORE,2011,Rabi       ,201435.0,836157.0
